"","SRR6898209","SRR6898210","SRR8094748","SRR8094749","SRR8094750","SRR8094751","SRR6898193","SRR6898194","SRR6898195","SRR6898211"
"ARL13B",286,522,114,43,56,60,188,112,120,85
"STX19",0,0,0,1,0,2,0,2,0,4
"DHFRL1",314,215,144,96,114,172,150,332,274,354
"NSUN3",202,200,78,77,72,70,84,112,65,143
"LINC00879",0,0,0,0,0,0,0,0,0,0
"MTRNR2L12",56,74,146,94,124,96,88,82,132,80
"EPHA6",2,6,4,0,0,0,4,0,0,0
"ARL6",99,104,7,16,14,30,49,22,6,50
"CRYBG3",395,202,4,2,2,6,13,40,4,18
"MINA",1106,1368,183,124,207,279,344,288,240,325
"OR5AC2",0,0,0,0,0,0,0,0,0,0
"RP11-343D2.11",0,0,0,0,0,0,0,0,0,0
"OR5H1",0,0,0,0,0,0,0,0,0,0
"OR5H14",0,0,0,0,0,0,0,0,0,0
"OR5H15",0,0,0,0,0,0,0,0,0,0
"RP11-325B23.2",0,0,0,0,0,0,0,0,0,0
"OR5H6",0,0,0,0,0,0,0,0,0,0
"OR5H2",0,0,0,0,0,0,0,0,0,0
"OR5K4",0,0,0,0,0,0,0,0,0,0
"OR5K3",0,0,0,0,0,0,0,0,0,0
"OR5K1",2,0,0,0,0,0,0,0,0,0
"OR5K2",0,0,0,0,0,0,0,0,0,0
"CLDND1",808,810,468,430,405,543,429,516,394,567
"CPOX",952,1106,474,702,595,671,925,1064,698,803
"RP11-227H4.5",0,0,0,1,0,0,1,0,0,0
"GPR15",0,0,0,0,0,0,0,0,0,0
"ST3GAL6-AS1",0,0,6,2,19,3,7,15,11,20
"ST3GAL6",129,158,1456,776,952,1110,1860,1466,1940,2969
"DCBLD2",4378,2797,338,233,408,488,544,801,585,787
"CTD-2021J15.1",1,0,0,0,0,0,3,0,0,0
"LINC00973",0,2,0,0,0,0,0,0,0,0
"RP11-779P15.1",0,0,0,0,0,0,0,0,0,0
"RP11-779P15.2",0,0,0,0,0,0,0,0,0,0
"RP11-201E8.1",0,0,5,0,0,0,0,0,0,0
"COL8A1",508,4,16,20,6,0,6,36,6,9
"RP11-383I23.2",0,6,0,0,0,0,0,0,0,2
"CMSS1",297,406,154,124,227,274,252,125,207,162
"FILIP1L",278,271,424,194,148,14,80,80,16,51
"TMEM30C",0,1,0,0,0,0,0,2,0,0
"TBC1D23",1331,1260,414,343,444,605,500,738,657,1148
"NIT2",996,810,2694,3567,2504,2700,2287,1647,2688,2672
"RP11-114I8.4",12,15,0,4,5,2,6,2,4,6
"TOMM70A",3205,3954,1032,1389,1215,1790,1530,3019,2346,2761
"LNP1",42,66,36,86,69,48,52,134,78,96
"TMEM45A",1778,574,1164,1397,860,974,2675,2601,1839,2182
"GPR128",22,18,192,94,93,200,323,268,303,651
"TFG",3995,3807,1524,1491,1137,934,1831,1307,1448,1358
"ABI3BP",52,19,156,72,118,7,8,44,6,20
"IMPG2",22,12,0,2,4,0,0,0,4,8
"SENP7",525,661,183,106,169,210,143,362,213,326
"TRMT10C",974,689,190,190,178,354,320,228,255,400
"PCNP",3160,3282,985,1022,853,897,1334,1594,1050,1376
"ZBTB11",852,1024,234,138,208,203,226,431,283,356
"ZBTB11-AS1",40,19,42,21,30,24,21,11,13,9
"RPL24",13577,15341,9832,11260,10378,8297,5909,7480,5958,6734
"CEP97",411,372,32,28,38,42,61,124,78,88
"NXPE3",290,184,129,117,71,6,55,130,0,18
"RP11-49I4.3",0,0,0,0,0,0,0,0,0,0
"NFKBIZ",2106,2921,671,1124,427,178,1463,1001,3574,573
"RP11-221J22.1",0,0,0,0,0,0,0,0,0,0
"RP11-221J22.2",0,0,0,0,0,0,0,1,0,0
"ZPLD1",16,8,18,2,0,0,0,0,0,2
"RP11-280H21.1",0,0,7,6,4,12,6,13,4,16
"ALCAM",5191,8190,1033,678,772,1497,2158,2234,1177,1735
"CBLB",1120,393,316,191,223,155,236,457,226,169
"LINC00882",6,0,2,8,6,2,0,1,0,0
"LINC00883",56,12,28,8,8,0,2,14,0,0
"RP11-446H18.5",0,0,0,0,0,0,2,2,0,2
"RP11-446H18.6",0,2,10,2,0,0,0,0,0,0
"CCDC54",4,0,0,0,0,0,0,0,0,0
"RP11-115H18.1",0,0,1,0,1,0,0,0,0,0
"BBX",1940,1783,244,152,277,336,521,733,195,702
"LINC00635",0,0,2,0,0,0,0,0,0,0
"LINC00636",0,0,0,0,0,0,0,0,0,0
"CD47",1278,775,722,526,603,530,713,1080,487,1029
"RP11-861A13.4",0,0,6,10,2,0,0,0,0,0
"IFT57",448,441,201,116,133,95,113,192,106,151
"HHLA2",0,0,2,0,0,0,22,36,22,12
"MYH15",10,0,0,0,0,0,2,0,0,0
"KIAA1524",211,420,2,14,10,2,32,26,8,14
"DZIP3",608,996,100,58,72,119,86,251,147,205
"RETNLB",0,0,0,0,0,0,0,0,0,0
"TRAT1",0,0,16,18,12,0,6,4,0,4
"GUCA1C",0,0,0,0,0,0,0,0,0,0
"MORC1",0,0,0,0,0,0,3,0,0,2
"MORC1-AS1",0,0,0,0,0,0,0,0,0,0
"RP11-59E19.1",2,0,38,122,40,47,21,105,95,234
"RP11-59E19.4",0,0,0,0,0,0,0,0,0,0
"LINC00488",2,0,2,0,0,0,0,2,4,0
"DPPA2",0,0,0,0,0,0,0,0,0,0
"DPPA4",5,19,4,20,9,0,4,52,32,15
"RP11-702L6.4",0,2,0,0,5,0,0,21,8,21
"RP11-457K10.1",0,0,0,0,0,0,0,0,0,2
"RP11-119D18.1",0,0,0,0,0,0,0,0,0,0
"RP11-553A10.1",1,6,0,0,0,0,0,1,0,0
"PVRL3-AS1",7,0,0,1,0,2,0,3,2,0
"PVRL3",561,722,178,339,258,554,484,647,573,931
"CD96",0,0,42,50,44,4,23,53,0,13
"RP11-615J4.3",0,0,0,0,0,0,0,0,0,0
"ZBED2",2,2,0,0,0,0,0,0,0,0
"PLCXD2",30,81,64,71,57,38,40,58,72,45
"PLCXD2-AS1",0,0,0,0,0,0,1,0,0,0
"PHLDB2",1341,853,891,652,762,930,672,1404,1043,1963
"ABHD10",1018,1370,433,529,598,632,623,841,626,1242
"TAGLN3",2,1,0,0,0,0,0,0,0,0
"TMPRSS7",4,3,0,0,0,0,0,0,0,0
"C3orf52",117,164,24,0,2,0,4,2,4,4
"GCSAM",20,28,20,12,30,3,8,6,0,2
"RP11-757F18.5",20,11,0,4,0,0,0,0,0,0
"SLC9C1",5,12,1,0,0,0,0,0,1,0
"RP11-90K6.1",0,0,0,0,0,0,0,0,0,0
"CD200",10,3,8,7,4,4,0,2,0,2
"RP11-231E6.1",0,0,0,0,0,0,0,0,0,0
"BTLA",2,0,4,8,8,2,4,14,4,6
"ATG3",764,735,627,672,700,576,854,661,567,576
"SLC35A5",803,525,324,370,372,492,426,450,392,783
"RP11-572C15.6",56,6,20,14,8,0,4,16,4,4
"CCDC80",946,44,150,80,74,4,19,144,18,20
"RP11-572C15.5",0,0,0,0,0,0,0,0,0,0
"CD200R1L",0,0,0,0,0,0,0,0,0,0
"CD200R1",0,2,30,72,60,4,34,114,0,10
"RP11-484K9.4",0,0,0,2,0,0,0,0,0,2
"GTPBP8",214,161,79,75,79,60,102,150,83,129
"C3orf17",1262,1157,355,261,308,308,330,485,371,458
"RP11-572M11.4",1,1,0,0,0,0,2,0,0,2
"RP11-572M11.1",0,0,0,0,0,0,0,2,0,0
"RP11-572M11.3",2,0,0,0,2,0,0,2,0,0
"BOC",443,0,118,32,22,0,4,7,2,1
"WDR52",401,469,102,55,101,108,81,134,154,154
"WDR52-AS1",0,1,0,0,0,0,0,1,0,0
"SPICE1",505,741,68,78,42,80,98,110,102,157
"SIDT1",68,32,26,58,31,2,19,31,8,4
"SIDT1-AS1",3,0,0,0,0,0,0,0,0,0
"KIAA2018",918,1184,219,282,220,326,704,1312,749,1011
"NAA50",3233,3934,936,964,920,1281,1663,2206,1415,1833
"RP11-271C24.2",0,3,0,0,0,0,0,0,0,2
"ATP6V1A",3257,4280,523,650,698,744,1086,1479,925,1497
"GRAMD1C",120,50,190,303,371,901,253,790,717,1271
"RP11-255E6.6",0,0,0,0,0,0,2,0,0,0
"ZDHHC23",408,345,100,96,133,122,202,135,206,167
"KIAA1407",100,116,53,21,24,20,26,71,34,49
"QTRTD1",473,644,182,164,174,117,256,291,225,166
"DRD3",0,0,0,0,0,0,0,0,0,0
"RP11-553L6.2",0,0,0,0,2,0,2,2,0,0
"ZNF80",0,0,0,0,2,0,0,0,0,0
"TIGIT",0,1,60,40,76,0,10,18,2,2
"RP11-553L6.5",226,216,578,371,310,243,240,495,530,620
"ZBTB20",87,89,48,16,25,21,222,327,438,276
"ZBTB20-AS1",4,0,0,0,9,0,0,3,2,5
"RP11-197K3.1",0,0,2,0,0,0,2,2,3,0
"ZBTB20-AS2",0,0,1,0,0,0,0,0,0,0
"ZBTB20-AS3",0,0,2,0,2,0,3,0,1,3
"ZBTB20-AS4",0,0,0,0,0,0,2,4,6,0
"RP11-190P13.2",0,0,0,0,0,0,0,0,0,2
"GAP43",5,12,2,2,0,0,2,2,0,0
"LSAMP",126,40,22,2,2,0,2,2,0,0
"LSAMP-AS1",0,0,0,0,0,0,0,0,0,0
"LINC00903",0,0,0,0,0,0,0,0,0,0
"TUSC7",0,0,0,0,0,0,0,0,0,0
"LINC00901",0,0,0,0,0,0,0,0,0,0
"RP11-384F7.2",2,2,0,0,0,0,0,0,0,0
"RP11-768G7.2",0,0,0,0,0,0,0,0,0,0
"RP11-768G7.3",0,0,0,0,0,0,0,0,0,0
"RP11-384F7.1",0,0,0,0,0,0,0,0,0,0
"IGSF11",4,1,0,0,0,0,2,0,0,0
"IGSF11-AS1",0,0,0,0,0,0,0,0,0,0
"C3orf30",0,0,0,0,0,0,0,0,0,0
"RP11-484M3.5",0,0,0,0,0,0,0,0,0,0
"UPK1B",0,68,13,4,6,0,18,23,19,8
"B4GALT4",760,813,231,178,209,286,297,319,169,356
"B4GALT4-AS1",0,0,0,0,0,0,0,0,0,0
"ARHGAP31",80,31,200,158,192,6,267,259,9,34
"ARHGAP31-AS1",1,0,4,0,2,0,2,2,2,0
"TMEM39A",1407,1691,505,233,367,614,633,495,293,560
"POGLUT1",620,763,230,176,208,184,303,265,175,187
"RP11-190C22.8",0,2,4,2,2,4,0,1,0,0
"TIMMDC1",1447,1324,575,608,689,875,903,848,641,957
"CD80",0,0,22,29,8,6,12,10,0,15
"RP11-190C22.9",0,0,0,0,0,0,0,0,0,0
"ADPRH",45,32,122,90,71,16,88,85,14,21
"PLA1A",188,259,194,300,248,331,846,455,580,685
"POPDC2",19,21,22,16,13,2,7,18,13,16
"COX17",400,721,1190,1841,1618,1120,713,764,857,804
"MAATS1",134,167,24,3,23,34,14,85,82,16
"RP11-169N13.4",0,0,0,0,0,0,0,0,0,0
"NR1I2",491,335,4353,2114,3079,2395,1177,3998,4066,3922
"GSK3B",1870,2292,676,659,707,716,751,1017,707,739
"RP11-18H7.1",38,32,18,10,4,7,4,8,9,7
"GPR156",6,2,0,0,0,0,0,0,0,0
"LRRC58",1830,2555,403,408,328,332,618,938,809,1108
"RP11-174O3.3",0,0,0,0,0,0,0,0,0,0
"FSTL1",4715,511,1090,491,544,136,384,1186,668,1296
"NDUFB4",1921,2168,1854,2686,2134,1700,1492,1526,1698,1520
"HGD",4051,3915,8788,8183,10441,13147,9531,14586,20471,20686
"RABL3",626,609,202,259,296,383,374,417,306,564
"GTF2E1",379,376,124,79,96,108,91,125,72,123
"RP11-500K19.1",0,0,0,0,0,0,0,0,0,0
"STXBP5L",1,0,0,0,0,0,0,0,0,0
"POLQ",180,656,4,11,4,0,14,16,4,16
"ARGFX",0,0,0,0,0,0,0,0,0,0
"FBXO40",0,0,1,0,2,4,0,10,2,0
"HCLS1",4,2,2235,1434,1427,167,3054,501,24,261
"GOLGB1",5232,4323,1346,757,1096,1502,2121,2494,1689,2764
"IQCB1",333,412,116,91,112,88,139,163,117,123
"EAF2",30,52,40,50,26,18,61,19,10,11
"SLC15A2",32,121,62,26,52,6,120,37,2,69
"ILDR1",18,20,14,0,2,2,2,6,2,2
"CD86",0,2,322,266,190,25,300,137,0,45
"CASR",2,0,54,0,7,4,8,8,6,2
"CSTA",42,0,190,292,152,128,86,46,44,77
"CCDC58",587,711,220,334,330,364,267,361,380,388
"FAM162A",1415,1869,1273,3394,1299,1433,1339,1860,2257,2254
"WDR5B",219,160,86,84,134,90,67,144,72,135
"RP11-299J3.8",9,10,21,6,28,21,5,20,15,23
"KPNA1",1401,1557,437,350,439,722,798,813,503,732
"PARP9",2721,1728,1034,952,701,953,1873,1632,1477,1560
"DTX3L",1958,1897,775,722,596,390,1346,1441,1228,1263
"PARP15",97,104,55,26,57,12,27,71,9,21
"PARP14",2459,1767,1152,821,979,660,885,1941,1289,2061
"HSPBAP1",26,26,90,76,66,106,86,86,69,66
"DIRC2",193,210,150,185,170,134,249,183,236,173
"RP11-67L2.2",28,50,58,28,36,30,43,57,50,36
"SEMA5B",0,0,63,42,36,0,16,22,2,0
"PDIA5",1898,3109,1592,1692,1413,1924,2780,2531,2563,2322
"SEC22A",295,241,142,118,144,174,158,145,131,167
"RP11-797D24.3",0,2,4,2,0,0,2,0,0,0
"ADCY5",42,62,422,152,247,8,6,18,12,13
"RP11-797D24.4",0,0,0,0,0,0,0,0,0,0
"PTPLB",3066,3141,618,1058,894,1367,1162,2580,1361,2123
"MYLK-AS1",13,22,8,2,7,6,0,8,6,3
"MYLK",402,353,1794,914,1309,1187,2276,4313,1888,2894
"MYLK-AS2",0,0,0,0,0,0,0,0,1,0
"RP11-9N20.3",0,0,0,0,0,0,0,2,6,0
"CCDC14",2445,2608,347,206,326,299,189,419,242,407
"ROPN1",0,0,0,4,0,0,0,0,2,0
"KALRN",463,641,464,596,493,558,613,821,977,886
"UMPS",971,1153,380,484,462,638,735,750,670,765
"RP11-71H17.9",33,53,17,10,30,8,31,16,16,4
"ITGB5",3935,4128,2238,2187,2248,1233,3404,2398,1820,1430
"ITGB5-AS1",1,1,4,0,0,0,0,3,0,0
"MUC13",1109,294,20,16,6,8,72,92,60,28
"HEG1",919,634,527,279,272,54,296,697,98,76
"SLC12A8",578,481,138,126,158,119,425,181,6,26
"ZNF148",1206,1407,204,221,260,284,472,709,510,863
"SNX4",1566,1877,717,866,772,1286,1103,1429,1024,1628
"OSBPL11",576,587,957,285,306,377,990,620,830,2202
"RP11-379B18.6",0,0,4,0,0,0,2,0,0,0
"RP11-379B18.5",52,15,17,13,6,2,9,12,7,10
"RP11-666A20.4",4,4,8,0,1,4,2,6,1,2
"ALG1L",12,45,9,20,35,10,2,13,4,5
"ROPN1B",4,1,2,24,20,2,4,30,6,6
"SLC41A3",896,1075,376,276,325,162,278,334,234,179
"RP11-158I23.1",0,0,1,0,0,0,0,0,0,0
"RP11-124N2.1",19,2,7,17,10,7,3,18,11,25
"ALDH1L1",488,719,8608,8497,19691,16312,9377,28882,42423,20334
"ALDH1L1-AS1",0,0,6,0,2,2,0,8,21,11
"ALDH1L1-AS2",12,31,37,29,31,34,37,91,54,37
"RP11-71E19.1",6,0,23,25,19,10,1,30,16,7
"RP11-71E19.2",1,0,4,5,0,2,1,6,5,6
"KLF15",793,1533,3534,2629,3231,2864,3658,3490,3369,3519
"RP11-71E19.5",0,0,0,0,0,0,0,0,0,0
"CCDC37",5,2,1,2,10,0,0,5,5,4
"ZXDC",601,733,613,450,637,366,1112,692,691,387
"UROC1",3,8,5633,6943,8386,2877,2173,4699,7631,2195
"CHST13",353,759,1325,2409,3964,1926,978,1747,1056,857
"C3orf22",0,1,0,4,0,14,4,0,1,0
"TXNRD3",224,312,89,82,113,205,162,203,147,234
"TXNRD3NB",0,0,0,0,0,0,0,0,0,0
"CHCHD6",155,251,188,167,254,164,109,118,88,83
"PLXNA1",1318,1667,470,270,559,73,376,213,57,48
"C3orf56",0,0,0,0,0,0,0,0,0,0
"RP11-88I21.2",0,0,0,0,0,0,0,0,0,0
"RP11-59J16.1",0,0,0,0,0,0,0,0,0,0
"RP11-59J16.2",0,0,0,0,0,0,0,0,0,0
"TPRA1",881,857,955,1116,1268,767,929,848,757,706
"MCM2",588,1375,72,112,156,38,42,232,42,54
"PODXL2",450,564,218,102,130,32,134,119,120,72
"ABTB1",95,48,884,819,1275,317,574,404,532,356
"MGLL",761,653,3588,2615,4194,3044,4634,3246,3631,1884
"KBTBD12",6,2,0,0,0,0,0,2,0,0
"SEC61A1",10378,9259,6770,3296,7604,4007,13563,4288,3099,3112
"RUVBL1",898,1400,226,259,330,247,414,302,219,244
"RUVBL1-AS1",0,0,0,0,0,0,0,2,0,0
"EEFSEC",261,374,767,753,1025,544,494,478,374,335
"DNAJB8",0,0,0,0,0,0,0,0,0,0
"DNAJB8-AS1",0,0,0,0,0,0,0,0,0,0
"GATA2",24,29,102,94,41,0,18,60,0,25
"RP11-475N22.4",4,5,31,29,5,2,10,5,2,0
"C3orf27",0,0,0,0,0,0,0,0,0,0
"RPN1",9699,12087,4601,5183,5724,7185,12527,5523,4302,6642
"RAB7A",5441,5871,3288,3763,3711,3546,3915,4440,3402,3180
"RP11-723O4.9",5,8,10,4,13,0,2,18,12,15
"RP11-723O4.2",11,16,6,11,5,2,5,14,4,13
"ACAD9",1001,1035,537,548,681,526,584,811,611,530
"KIAA1257",3,7,0,4,10,0,0,1,0,0
"RP11-723O4.6",6,2,1,2,4,0,0,2,0,0
"EFCC1",0,0,121,114,131,4,26,51,4,2
"GP9",0,0,2,10,6,0,0,0,0,0
"RAB43",109,93,110,102,130,217,344,202,286,133
"ISY1-RAB43",0,0,0,0,0,0,0,0,0,0
"RP11-434H6.6",4,1,4,10,10,5,42,16,31,13
"ISY1",181,125,151,158,199,70,157,140,122,117
"RP11-434H6.7",1,10,30,7,24,20,11,12,19,11
"CNBP",5193,6111,6103,7100,7313,7405,5584,9527,8039,8158
"COPG1",4339,5199,2268,1663,2809,1986,5296,2955,1901,1192
"HMCES",757,823,1175,1144,1181,580,738,1452,1270,598
"H1FX",577,1190,3061,3767,5343,2013,1498,1864,1431,846
"H1FX-AS1",5,2,77,34,55,11,14,47,57,12
"EFCAB12",72,141,2,10,4,6,36,12,20,42
"MBD4",1225,1072,281,248,278,364,414,435,306,381
"IFT122",561,824,184,265,334,150,335,470,398,200
"RHO",2,0,0,0,0,0,0,0,0,0
"H1FOO",0,0,0,0,0,0,0,1,0,0
"PLXND1",1547,2890,2338,1406,1894,110,1397,1709,40,115
"TMCC1",1470,1478,208,304,316,252,345,403,323,558
"TMCC1-AS1",93,171,20,10,14,10,12,20,2,8
"RP11-93K22.6",0,0,0,0,0,0,0,0,0,0
"TRH",0,6,0,2,0,0,0,0,0,0
"RP11-93K22.13",1,0,0,0,0,0,0,0,2,0
"RP11-77P16.4",20,13,2,8,0,4,5,8,6,15
"COL6A5",2,0,0,3,0,0,0,0,0,0
"COL6A6",13,2,22,36,13,0,0,0,0,2
"PIK3R4",620,751,406,389,380,452,607,917,803,1250
"ATP2C1",2321,2277,478,466,515,778,1023,974,620,932
"RP11-39E3.3",0,0,0,0,0,0,0,0,0,0
"ASTE1",104,118,80,73,77,134,66,189,111,110
"NEK11",28,45,33,8,12,18,18,22,10,41
"RP11-265F19.1",0,0,0,0,0,0,0,0,0,0
"NUDT16",1810,2126,1862,1334,1580,1192,2340,2234,1618,1882
"MRPL3",2002,2002,915,888,935,1633,1214,953,645,1136
"RP11-517B11.4",1,0,0,0,0,0,0,0,0,0
"CPNE4",8,3,0,0,0,0,0,0,0,0
"ACPP",32,8,2,6,0,4,8,11,0,2
"DNAJC13",2116,2083,278,251,282,426,576,710,346,562
"ACAD11",3,0,0,1,1,2,1,2,0,1
"NPHP3",757,577,270,115,265,225,146,612,324,139
"ACKR4",11,18,16,24,26,3,8,41,16,14
"UBA5",1166,1411,392,477,581,610,1075,746,532,645
"NPHP3-AS1",0,1,1,0,0,0,0,4,1,0
"RP11-469L4.1",0,0,0,0,0,0,0,0,0,0
"TMEM108",0,0,0,2,2,0,2,0,0,0
"RP11-402L6.1",0,0,0,0,0,0,0,0,0,0
"BFSP2",4,4,4,0,2,2,2,0,0,0
"BFSP2-AS1",0,0,0,0,0,0,0,0,0,0
"RP11-91K8.5",0,0,0,0,0,0,0,0,0,0
"CDV3",4621,5422,1420,1492,1697,1924,2520,3254,2651,2453
"TOPBP1",997,1404,145,112,181,262,261,266,193,276
"TF",72507,134760,211556,237859,173008,274948,153071,300639,318759,283187
"SRPRB",3394,3087,836,727,1354,1500,3556,1116,915,968
"RAB6B",76,161,39,67,40,6,39,29,24,9
"C3orf36",2,0,0,0,0,0,0,2,0,0
"SLCO2A1",33,12,195,62,70,0,64,50,2,12
"RP11-202A13.1",0,0,0,0,0,0,0,0,0,0
"RYK",1195,1207,620,465,620,483,364,620,447,549
"RP11-200A1.1",0,1,7,15,6,10,4,4,12,5
"RP11-375I20.6",0,0,0,2,2,2,0,2,0,0
"AMOTL2",385,642,737,410,820,436,360,908,550,369
"ANAPC13",1078,1404,709,727,728,704,810,606,682,754
"CEP63",435,510,207,269,349,368,463,506,419,433
"EPHB1",7,58,60,32,128,138,137,138,100,158
"KY",0,2,2,0,0,0,2,0,0,0
"PPP2R3A",322,265,36,8,25,18,46,53,42,32
"RP11-305O4.3",0,0,0,0,4,0,0,3,1,1
"MSL2",434,495,306,246,323,242,382,773,522,413
"PCCB",1367,2053,1708,3215,2054,3153,2447,3305,3020,3453
"STAG1",623,726,116,101,110,292,350,511,219,433
"RP11-102M11.2",0,6,0,0,0,0,0,2,0,2
"SLC35G2",224,66,39,92,50,60,16,42,4,9
"RP11-731C17.2",18,50,5,8,20,4,16,16,6,8
"RP11-85F14.5",67,50,16,24,32,17,16,22,4,31
"NCK1",520,495,180,205,220,268,358,359,256,274
"IL20RB",25,5,98,7,16,30,16,10,30,21
"IL20RB-AS1",0,0,0,0,0,0,0,0,0,0
"SOX14",0,0,0,0,0,0,0,0,0,2
"RP11-2A4.3",0,0,0,0,0,0,0,0,0,0
"RP11-2A4.4",0,0,0,0,0,0,0,0,0,0
"CLDN18",13,34,1,0,0,0,30,38,22,2
"RP11-461M2.2",2,0,0,0,0,0,0,0,0,0
"DZIP1L",83,50,36,26,14,6,20,4,4,4
"A4GNT",2,5,6,0,0,0,0,0,0,2
"DBR1",503,397,133,146,137,108,196,256,160,120
"ARMC8",1027,886,328,238,310,332,377,428,279,406
"NME9",22,23,2,0,6,2,6,22,6,2
"MRAS",251,455,116,116,69,10,72,45,8,14
"ESYT3",20,53,0,0,4,0,0,12,2,0
"CEP70",523,512,255,312,253,317,415,363,328,570
"FAIM",112,43,213,92,87,80,69,90,50,66
"PIK3CB",664,1139,194,207,226,304,618,478,242,342
"RP11-548O1.3",0,2,0,0,0,0,0,0,0,0
"FOXL2",2,10,0,2,0,0,0,0,0,10
"C3orf72",2,0,0,0,0,0,0,0,0,0
"PRR23A",0,0,0,0,0,0,0,0,0,0
"MRPS22",747,755,340,520,491,754,581,575,495,613
"PRR23B",0,0,0,0,0,0,0,0,0,0
"PRR23C",0,0,0,0,0,0,0,0,0,0
"BPESC1",0,0,0,0,0,0,0,0,0,0
"RP11-219D15.3",6,2,10,4,1,0,2,1,0,7
"COPB2",7546,6530,1173,950,1262,2293,3422,2319,1346,2499
"RP11-319G6.1",26,25,33,14,30,22,12,22,39,49
"RBP2",66,196,2,0,0,0,0,8,2,2
"RP11-319G6.3",0,0,0,0,0,0,0,0,0,0
"RBP1",4024,3940,1429,1365,1265,122,223,138,42,22
"NMNAT3",79,89,50,80,116,92,26,78,106,80
"RP11-442N1.2",0,0,0,0,0,0,0,2,0,0
"RP11-442N1.1",0,0,0,0,0,0,0,0,0,0
"RP11-166D18.1",0,0,0,0,0,0,0,0,0,0
"CLSTN2",0,2,58,2,20,0,0,6,0,2
"RP11-68L1.2",0,0,0,0,0,0,0,0,0,0
"RP11-68L1.1",0,0,0,0,0,0,0,0,0,0
"CLSTN2-AS1",0,0,0,0,0,0,0,0,0,0
"TRIM42",2,0,0,0,0,0,0,0,0,0
"RP11-691G17.1",0,0,0,0,0,0,0,0,0,0
"SLC25A36",1621,1684,136,64,122,2,85,163,10,24
"SPSB4",0,0,28,89,84,4,86,20,0,2
"RP11-231L11.1",0,0,0,0,0,0,0,0,0,0
"ACPL2",415,382,87,88,102,82,74,95,115,123
"RP11-438D8.2",2,4,0,0,0,0,0,0,4,0
"ZBTB38",2952,2189,446,298,298,382,934,884,303,627
"RASA2",347,430,203,108,162,189,166,290,177,268
"RP11-340E6.1",4,6,0,0,0,0,0,0,0,0
"RNF7",1847,1786,967,1137,1273,698,706,671,589,737
"GRK7",0,0,6,0,0,0,0,1,0,0
"ATP1B3",1819,2300,528,310,173,23,179,122,20,23
"ATP1B3-AS1",1,4,0,2,2,0,1,0,0,0
"RP11-271K21.11",0,0,0,0,0,0,0,0,0,0
"TFDP2",1081,1210,208,301,243,280,403,533,384,619
"RP11-485G4.2",241,314,127,64,60,40,68,49,68,144
"GK5",306,331,92,41,53,38,34,62,74,95
"XRN1",1158,1287,482,498,411,451,499,1376,788,1274
"ATR",1121,1345,165,114,217,208,361,283,280,270
"PLS1",955,1520,198,270,332,792,324,667,585,1060
"PLS1-AS1",0,0,0,0,0,0,0,0,0,0
"TRPC1",311,537,46,8,18,2,8,10,2,4
"PCOLCE2",74,151,388,317,378,566,144,1270,661,1405
"RP11-372E1.4",0,4,1117,1411,837,943,212,730,751,1789
"PAQR9",314,282,386,224,289,276,211,511,403,476
"RP11-372E1.6",19,30,77,56,74,64,65,106,62,137
"U2SURP",2653,3333,771,404,637,978,632,1587,861,1117
"RP11-91G21.1",0,0,0,0,0,0,0,0,0,0
"RP11-80H8.3",0,0,0,0,0,0,0,0,0,0
"CHST2",1113,97,334,110,106,8,54,28,4,10
"RP11-80H8.4",4,0,4,0,0,0,0,1,0,0
"SLC9A9",45,1,242,244,210,17,223,138,0,33
"SLC9A9-AS1",0,0,0,0,0,0,0,0,0,0
"SLC9A9-AS2",0,0,0,0,0,0,0,0,0,0
"C3orf58",358,486,560,184,216,436,986,829,817,3508
"RP11-88H10.2",0,0,0,0,0,0,0,0,0,0
"RP11-88H10.3",0,0,0,0,0,0,0,0,0,0
"RP11-274H2.2",2,7,0,0,0,0,0,3,5,0
"AC107021.1",4,10,0,0,0,0,0,3,3,0
"RP11-274H2.3",12,13,8,0,0,0,2,2,5,0
"PLOD2",5346,3522,726,762,499,865,1294,2054,1992,1926
"PLSCR4",370,200,686,378,422,502,760,1051,1222,1124
"PLSCR2",2,2,2,0,0,0,0,2,1,2
"PLSCR1",747,574,814,538,401,281,1096,658,1069,712
"PLSCR5",0,0,0,0,0,0,0,0,0,0
"PLSCR5-AS1",0,0,0,0,0,0,0,0,0,0
"RP11-649A16.1",0,0,0,0,0,0,0,0,0,0
"RP11-232M24.1",0,0,0,0,0,0,0,0,0,0
"ZIC4",0,4,8,10,6,6,2,0,12,0
"ZIC4-AS1",0,0,0,0,0,0,0,0,0,0
"ZIC1",4,4,99,71,94,40,4,6,25,9
"RP11-78O22.1",0,0,0,0,0,0,0,0,0,0
"RP11-71N10.1",0,0,0,0,0,0,0,0,0,0
"RP11-639B1.1",0,0,0,0,0,0,0,0,0,0
"RP11-501O2.1",0,0,0,0,0,0,0,0,0,0
"RP11-501O2.3",0,0,0,0,0,0,0,0,0,0
"RP11-501O2.4",0,0,0,0,0,0,0,0,0,0
"RP11-501O2.5",0,0,0,0,0,0,0,0,0,0
"AGTR1",2433,2805,968,979,987,985,1145,966,1674,1528
"CPB1",5,22,2,0,0,0,0,2,4,2
"RP11-680B3.2",0,0,0,0,0,0,0,0,0,0
"CPA3",1,2,56,12,8,0,4,2,0,6
